mode,batch_id,user_x,user_y,server_id,server_x,server_y,network_latency,compute_time,total_latency
FOG,3,-131,69,edge-3,-100,100,88.72,73.70,162.42
FOG,3,-131,69,edge-3,-100,100,88.72,17.24,105.96
FOG,3,-131,69,edge-3,-100,100,88.72,80.82,169.54
FOG,3,-131,69,edge-3,-100,100,88.72,19.19,107.91
FOG,3,-131,69,edge-3,-100,100,88.72,78.62,167.34
FOG,3,-131,69,edge-3,-100,100,88.72,18.09,106.81
FOG,3,-131,69,edge-3,-100,100,88.72,81.00,169.72
FOG,3,-131,69,edge-3,-100,100,88.72,16.72,105.44
FOG,3,-131,69,edge-3,-100,100,88.72,21.59,110.31
FOG,3,-131,69,edge-3,-100,100,88.72,82.25,170.97
FOG,3,-131,69,edge-3,-100,100,88.72,19.73,108.45
FOG,3,-131,69,edge-3,-100,100,88.72,68.69,157.41
FOG,3,-131,69,edge-3,-100,100,88.72,21.36,110.08
FOG,3,-131,69,edge-3,-100,100,88.72,78.51,167.23
FOG,3,-131,69,edge-3,-100,100,88.72,24.84,113.56
FOG,3,-131,69,edge-3,-100,100,88.72,86.52,175.24
FOG,3,-131,69,edge-3,-100,100,88.72,81.86,170.58
FOG,3,-131,69,edge-3,-100,100,88.72,18.89,107.61
FOG_SETUP,4,64,85,cloud,0,0,212.24,1000.00,1212.24
FOG,4,64,85,edge-1,100,100,78.09,14.23,92.32
FOG,4,64,85,edge-1,100,100,78.09,9.70,87.79
FOG,4,64,85,edge-1,100,100,78.09,76.68,154.77
FOG,4,64,85,edge-1,100,100,78.09,10.93,89.02
FOG,4,64,85,edge-1,100,100,78.09,10.60,88.69
FOG,4,64,85,edge-1,100,100,78.09,77.90,155.99
FOG,4,64,85,edge-1,100,100,78.09,14.89,92.98
FOG,4,64,85,edge-1,100,100,78.09,79.01,157.10
FOG,4,64,85,edge-1,100,100,78.09,10.63,88.72
FOG,4,64,85,edge-1,100,100,78.09,77.62,155.71
FOG,4,64,85,edge-1,100,100,78.09,15.72,93.81
FOG,4,64,85,edge-1,100,100,78.09,10.57,88.66
FOG,4,64,85,edge-1,100,100,78.09,76.53,154.62
FOG,4,64,85,edge-1,100,100,78.09,17.71,95.80
FOG,4,64,85,edge-1,100,100,78.09,74.26,152.35
FOG,4,64,85,edge-1,100,100,78.09,10.58,88.67
FOG,4,64,85,edge-1,100,100,78.09,74.98,153.07
FOG,4,64,85,edge-1,100,100,78.09,17.14,95.23
FOG,4,64,85,edge-1,100,100,78.09,10.64,88.73
FOG,4,64,85,edge-1,100,100,78.09,71.76,149.85
FOG,4,64,85,edge-1,100,100,78.09,13.37,91.46
FOG,4,64,85,edge-1,100,100,78.09,13.60,91.69
FOG,4,64,85,edge-1,100,100,78.09,80.45,158.54
FOG,4,64,85,edge-1,100,100,78.09,18.23,96.32
FOG,4,64,85,edge-1,100,100,78.09,81.18,159.27
FOG,4,64,85,edge-1,100,100,78.09,12.11,90.20
FOG,4,64,85,edge-1,100,100,78.09,78.42,156.51
FOG,4,64,85,edge-1,100,100,78.09,19.57,97.66
FOG,4,64,85,edge-1,100,100,78.09,78.24,156.33
FOG,4,64,85,edge-1,100,100,78.09,18.54,96.63
FOG,4,64,85,edge-1,100,100,78.09,80.78,158.87
FOG,4,64,85,edge-1,100,100,78.09,80.88,158.97
FOG,4,64,85,edge-1,100,100,78.09,19.96,98.05
FOG,4,64,85,edge-1,100,100,78.09,83.50,161.59
FOG,4,64,85,edge-1,100,100,78.09,13.62,91.71
FOG,4,64,85,edge-1,100,100,78.09,10.85,88.94
FOG,4,64,85,edge-1,100,100,78.09,74.55,152.64
FOG,4,64,85,edge-1,100,100,78.09,19.36,97.45
FOG,4,64,85,edge-1,100,100,78.09,79.51,157.60
FOG,4,64,85,edge-1,100,100,78.09,19.07,97.16
FOG,4,64,85,edge-1,100,100,78.09,81.07,159.16
FOG,4,64,85,edge-1,100,100,78.09,10.68,88.77
FOG,4,64,85,edge-1,100,100,78.09,72.97,151.06
FOG,4,64,85,edge-1,100,100,78.09,19.45,97.54
FOG,4,64,85,edge-1,100,100,78.09,80.93,159.02
FOG,4,64,85,edge-1,100,100,78.09,19.97,98.06
FOG,4,64,85,edge-1,100,100,78.09,77.93,156.02
FOG,4,64,85,edge-1,100,100,78.09,21.90,99.99
FOG,4,64,85,edge-1,100,100,78.09,77.91,156.00
FOG_SETUP,5,-105,144,cloud,0,0,356.08,1000.00,1356.08
FOG,5,-105,144,edge-3,-100,100,87.98,19.71,107.69
FOG,5,-105,144,edge-3,-100,100,87.98,10.58,98.56
FOG,5,-105,144,edge-3,-100,100,87.98,10.73,98.71
FOG,5,-105,144,edge-3,-100,100,87.98,10.89,98.87
FOG,5,-105,144,edge-3,-100,100,87.98,71.59,159.57
FOG,5,-105,144,edge-3,-100,100,87.98,15.24,103.22
FOG,5,-105,144,edge-3,-100,100,87.98,86.55,174.53
FOG,5,-105,144,edge-3,-100,100,87.98,21.17,109.15
FOG,5,-105,144,edge-3,-100,100,87.98,76.46,164.44
FOG,5,-105,144,edge-3,-100,100,87.98,11.13,99.11
FOG,5,-105,144,edge-3,-100,100,87.98,10.60,98.58
FOG,5,-105,144,edge-3,-100,100,87.98,76.80,164.78
FOG,5,-105,144,edge-3,-100,100,87.98,10.62,98.60
FOG,5,-105,144,edge-3,-100,100,87.98,10.58,98.56
FOG,5,-105,144,edge-3,-100,100,87.98,76.96,164.94
FOG,5,-105,144,edge-3,-100,100,87.98,10.84,98.82
FOG,5,-105,144,edge-3,-100,100,87.98,70.66,158.64
FOG,5,-105,144,edge-3,-100,100,87.98,17.16,105.14
FOG,5,-105,144,edge-3,-100,100,87.98,10.58,98.56
FOG,5,-105,144,edge-3,-100,100,87.98,74.67,162.65
FOG,5,-105,144,edge-3,-100,100,87.98,13.36,101.34
FOG,5,-105,144,edge-3,-100,100,87.98,10.58,98.56
FOG,5,-105,144,edge-3,-100,100,87.98,79.02,167.00
FOG,5,-105,144,edge-3,-100,100,87.98,20.81,108.79
FOG,5,-105,144,edge-3,-100,100,87.98,78.26,166.24
FOG,5,-105,144,edge-3,-100,100,87.98,10.57,98.55
FOG,5,-105,144,edge-3,-100,100,87.98,72.52,160.50
FOG,5,-105,144,edge-3,-100,100,87.98,18.04,106.02
FOG,5,-105,144,edge-3,-100,100,87.98,10.78,98.76
FOG,5,-105,144,edge-3,-100,100,87.98,75.10,163.08
FOG,5,-105,144,edge-3,-100,100,87.98,24.70,112.68
FOG,5,-105,144,edge-3,-100,100,87.98,19.02,107.00
FOG,5,-105,144,edge-3,-100,100,87.98,10.62,98.60
FOG,5,-105,144,edge-3,-100,100,87.98,71.82,159.80
FOG,5,-105,144,edge-3,-100,100,87.98,19.95,107.93
FOG,5,-105,144,edge-3,-100,100,87.98,13.20,101.18
FOG,5,-105,144,edge-3,-100,100,87.98,78.81,166.79
FOG,5,-105,144,edge-3,-100,100,87.98,82.67,170.65
FOG,5,-105,144,edge-3,-100,100,87.98,17.23,105.21
FOG,5,-105,144,edge-3,-100,100,87.98,11.03,99.01
FOG,5,-105,144,edge-3,-100,100,87.98,77.97,165.95
FOG,5,-105,144,edge-3,-100,100,87.98,10.60,98.58
FOG,5,-105,144,edge-3,-100,100,87.98,10.57,98.55
FOG,5,-105,144,edge-3,-100,100,87.98,75.30,163.28
FOG,5,-105,144,edge-3,-100,100,87.98,19.41,107.39
FOG,5,-105,144,edge-3,-100,100,87.98,78.78,166.76
FOG,5,-105,144,edge-3,-100,100,87.98,18.04,106.02
FOG,5,-105,144,edge-3,-100,100,87.98,79.50,167.48
FOG,5,-105,144,edge-3,-100,100,87.98,18.29,106.27
